2024-02-24 16:02:37,811 [main] INFO  com.colak.springlog4jtutorial.SpringLog4jTutorialApplication.logStarting ():50 {} - Starting SpringLog4jTutorialApplication using Java 21.0.1 with PID 15436 (D:\springtutorial\spring-logging\spring-log4j-tutorial\target\classes started by user in D:\springtutorial\spring-logging\spring-log4j-tutorial)
2024-02-24 16:02:37,823 [main] INFO  com.colak.springlog4jtutorial.SpringLog4jTutorialApplication.logStartupProfileInfo ():654 {} - No active profile set, falling back to 1 default profile: "default"
2024-02-24 16:02:39,547 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize ():109 {} - Tomcat initialized with port 8080 (http)
2024-02-24 16:02:39,564 [main] INFO  org.apache.coyote.http11.Http11NioProtocol.log ():173 {} - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-24 16:02:39,564 [main] INFO  org.apache.catalina.core.StandardService.log ():173 {} - Starting service [Tomcat]
2024-02-24 16:02:39,564 [main] INFO  org.apache.catalina.core.StandardEngine.log ():173 {} - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-02-24 16:02:39,630 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/].log ():173 {} - Initializing Spring embedded WebApplicationContext
2024-02-24 16:02:39,630 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext ():296 {} - Root WebApplicationContext: initialization completed in 1738 ms
2024-02-24 16:02:40,164 [main] INFO  org.apache.coyote.http11.Http11NioProtocol.log ():173 {} - Starting ProtocolHandler ["http-nio-8080"]
2024-02-24 16:02:40,199 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start ():241 {} - Tomcat started on port 8080 (http) with context path ''
2024-02-24 16:02:40,216 [main] INFO  com.colak.springlog4jtutorial.SpringLog4jTutorialApplication.logStarted ():56 {} - Started SpringLog4jTutorialApplication in 3.193 seconds (process running for 5.816)
